Pandit Deendayal Energy University,,,,,,,,,,,,
School of Technology,,,,,,,,,,,,
B.Tech - Computer Engineering,,,,,,,,,,,,
Semester : 3 (2),,,,,,,,,,,,
"Odd Semester 2026, w.e.f : July 20, 2026[Printed : 13-07-2026]",,,,,,,,,,,,
Day,"08:00 to 08:55 
(Minor Slot)",9.00 to 9. 55,10.00 to 10.55,10:55 to 11:10,11.10 to 12.05,12.10 to 1.05,13:10 to 14:05,2.10 to 3.05,3.10 to 4.05,4:05 to 4:15,4.15 to 5.10,5.15 to 6.10
Monday,MINOR,"G3 (24CS202P) E213, HAK-P",,SHORT BREAK,,LUNCH BREAK,"G3G4 (24MA202T) F-503, PRS-L","G3G4 (24CS201T) F-503, ANAN-L","G3G4 (24CS202T) F-503, HAK-L",SHORT BREAK,"G3G4 (24CS204T) F-503, PCH-L",
,,"G4 (24CS204P) E215, PCH-P",,,,,,,,,,
Tuesday,,"G4 (24CS202P) E215, HAK-P",,,,,"G3G4 (24CS203T) F-503, MTH-L","G3G4 (24MA202T) F-503, PRS-L","G3G4 (24CS201T) F-503, ANAN-L",,,
,,"G3 (24CS203P) F-103, MTH-P",,,,,,,,,,
Wednesday,,,,,,,"G3G4 (24CS204T) F-503, PCH-L","G3G4 (24MA202T) F-503, PRS-L","G3G4 (24CS201T) F-503, ANAN-L",,,
Thursday,,"G4 (24CS203P) F-104, MTH-P",,,,,"G3G4 (24CS202T) F-503, HAK-L","G3G4 (24CS201T) F-503, ANAN-T","G3G4 (24CS203T) F-503, MTH-L",,"G3G4 (24CS204T) F-503, PCH-L",
,,"G3 (24CS204P) F-103, KMS-P",,,,,,,,,,
Friday,,,,,,,"G3G4 (24CS202T) F-503, HAK-L","G3G4 (24MA202T) F-503, PRS-T","G3G4 (24CS203T) F-503, MTH-L",,,
Saturday,,,,,,,,,,,,
Faculty Abbr.,,Faculty Name,,,Subject Abbr.,,Subject Name,,,,,
ANAN,,Anand Singh,,,23MSCPM201T,,Essential Mathematics for Data Science,,,,,
HAK,,Hargeet Kaur,,,24CS201T,,Digital Logic and Design,,,,,
KMS,,Komal Singh,,,24CS202P,,Database Management System - Lab,,,,,
MTH,,Meera Thapar Khanna,,,24CS202T,,Database Management System,,,,,
PCH,,Payal Chaudhari,,,24CS203P,,Data Structures Lab,,,,,
PRS,,Priyanka Singh,,,24CS203T,,Data Structures,,,,,
PUJ,,Punit Jain,,,24CS204P,,Object Oriented Programming Lab,,,,,
,,,,,24CS204T,,Object Oriented Programming,,,,,
,,,,,24MA202T,,Discrete Mathematical Structures,,,,,
,,,,,,,,,,,,
Dr. Santosh Bharti,,,,,Dr. Shakti Mishra,,,,Prof. Anirbid Sircar,,,
Timetable Coordinator,,,,,HoD,,,,Director (School of Technology),,,
